target,placement_day,cancellation_day,distance_(km),placement_hours,placement_minutes,placement_seconds,cancellation_hours,cancellation_minutes,cancellation_seconds,personal_or_business_Personal,personal_or_business_nan,vehicle_type_Standard Bike,vehicle_type_nan,standard_or_express_Standard,standard_or_express_nan,platform_android,platform_desktop,platform_ios,platform_peer_web,platform_nan,cancelled_by_Staff,cancelled_by_nan,scheduled_Scheduled,scheduled_nan,placement_day_freq_encode,cancellation_day_freq_encode,placement_hours_freq_encode,placement_minutes_freq_encode,placement_seconds_freq_encode,cancellation_hours_freq_encode,cancellation_minutes_freq_encode,cancellation_seconds_freq_encode
0.0,0,0,8,9,48,6,10,24,58,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,985,917,464,124,125,532,108,119
5.0,0,0,8,16,13,55,16,30,57,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,985,917,572,118,110,662,103,111
0.0,0,0,4,13,8,39,13,9,37,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,985,917,670,109,119,631,100,92
0.0,0,0,4,7,44,21,8,1,4,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,985,917,127,114,100,240,108,124
1.0,0,0,16,14,50,11,16,21,56,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,985,917,679,128,137,662,86,132
0.0,0,0,26,15,22,28,15,22,41,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,985,917,748,116,86,718,125,101
1.0,0,0,1,11,14,1,11,14,13,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,985,917,700,101,113,613,113,108
2.0,0,0,3,20,16,15,20,17,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,985,917,80,99,104,90,109,90
0.0,0,0,4,8,1,32,8,9,29,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,985,917,328,112,111,240,100,122
3.0,0,0,4,18,16,49,19,22,46,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,985,917,229,99,108,182,125,103
0.0,0,0,4,8,10,4,8,32,57,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,985,917,328,118,120,240,103,111
2.0,0,0,4,17,12,40,17,17,35,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,985,917,345,95,96,436,109,94
0.0,0,0,6,10,15,31,10,16,54,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,985,917,633,114,122,532,90,98
5.0,0,0,6,10,18,47,10,26,11,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,985,917,633,104,104,532,100,111
5.0,0,0,8,16,27,46,16,30,10,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,985,917,572,102,96,662,103,95
0.0,0,0,17,9,50,52,9,57,17,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,985,917,464,128,95,421,101,128
0.0,0,0,6,10,37,32,10,48,28,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,985,917,633,115,111,532,103,114
2.0,0,0,7,11,29,35,11,29,42,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,985,917,700,127,116,613,133,104
0.0,0,0,10,12,41,4,12,41,11,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,985,917,686,103,120,658,108,111
0.0,0,0,7,16,14,23,16,55,16,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,985,917,572,101,118,662,99,101
0.0,0,0,16,10,6,27,10,11,5,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,985,917,633,113,112,532,107,89
0.0,0,0,8,8,22,12,8,41,39,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,985,917,328,116,104,240,108,132
0.0,0,0,3,21,29,37,21,30,29,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,985,917,68,127,100,56,103,122
0.0,0,0,17,12,21,35,13,27,12,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,985,917,686,97,116,631,97,94
1.0,0,0,6,12,40,41,12,53,17,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,985,917,686,105,104,658,87,128
1.0,0,0,20,13,58,57,14,6,25,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,985,917,670,107,115,622,107,118
5.0,0,0,8,16,31,45,16,32,53,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,985,917,572,112,124,662,103,94
0.0,0,0,14,14,58,21,14,59,25,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,985,917,679,107,100,622,100,118
0.0,0,0,8,16,6,54,16,8,38,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,985,917,572,113,125,662,102,103
3.0,0,0,12,12,14,34,13,26,13,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,985,917,686,101,100,631,100,108
1.0,0,0,3,14,30,6,14,32,34,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,985,917,679,126,125,622,103,118
3.0,0,0,6,17,41,53,19,2,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,985,917,345,103,92,182,109,116
3.0,0,1,7,10,10,22,3,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,985,1056,633,118,108,333,411,205
3.0,0,0,0,18,2,8,19,15,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,985,917,229,103,99,182,89,116
3.0,0,0,20,13,11,22,14,59,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,985,917,670,119,108,622,100,205
0.0,0,0,13,15,3,48,15,16,52,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,985,917,748,113,104,718,90,100
3.0,0,1,18,17,13,20,3,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,985,1056,345,118,122,333,411,151
3.0,0,0,15,14,20,33,15,29,38,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,985,917,679,118,112,718,133,103
6.0,0,0,7,8,5,44,9,44,38,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,985,917,328,93,121,421,123,103
3.0,0,0,8,8,27,54,8,53,11,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,985,917,328,102,125,240,87,111
6.0,0,0,6,17,14,59,19,24,32,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,985,917,345,101,97,182,108,112
4.0,0,0,9,15,5,17,16,50,16,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,985,917,748,93,112,662,128,101
4.0,0,0,0,15,22,31,15,49,35,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,985,917,748,116,122,718,110,94
0.0,0,0,1,15,22,25,15,22,37,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,985,917,748,116,96,718,125,92
2.0,0,0,7,9,0,48,9,23,8,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,985,917,464,126,104,421,120,103
0.0,0,0,16,14,16,48,14,18,8,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,985,917,679,99,104,622,114,103
4.0,0,0,0,11,6,0,17,19,56,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,985,917,700,113,115,436,109,132
0.0,0,0,5,14,39,5,15,20,31,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,985,917,679,100,136,718,114,114
2.0,0,0,16,7,45,20,10,33,3,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,985,917,127,119,122,532,112,90
1.0,0,0,17,12,35,7,12,37,11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,985,917,686,106,100,658,97,111
1.0,0,0,12,12,13,43,13,0,13,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,985,917,686,118,108,631,411,108
0.0,0,0,17,14,31,15,15,49,50,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,985,917,679,112,104,718,110,118
1.0,0,0,9,16,10,43,16,34,51,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,985,917,572,118,108,662,84,110
1.0,0,0,1,21,25,21,21,26,19,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,985,917,68,85,100,56,100,102
3.0,0,0,0,12,52,22,13,10,51,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,985,917,686,116,108,631,90,110
0.0,0,0,2,14,56,41,14,57,51,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,985,917,679,123,104,622,101,110
3.0,0,1,21,19,21,26,3,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,985,1056,133,97,129,333,411,205
3.0,0,1,4,13,1,16,14,23,7,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,985,1056,670,112,101,622,120,103
0.0,0,0,17,14,30,2,14,37,50,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,985,917,679,126,119,622,97,118
5.0,0,0,9,15,51,10,16,17,29,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,985,917,748,113,127,662,109,122
4.0,0,0,0,15,42,43,16,10,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,985,917,748,101,108,662,90,108
2.0,0,0,7,21,28,26,21,28,51,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,985,917,68,113,129,56,111,110
1.0,0,0,42,12,14,55,12,15,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,985,917,686,101,110,658,89,151
1.0,0,0,2,9,52,44,10,7,32,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,985,917,464,116,121,532,109,112
0.0,0,0,5,13,57,29,14,0,25,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,985,917,670,99,111,622,411,118
3.0,0,0,11,13,22,35,14,5,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,985,917,670,116,116,622,107,205
5.0,0,0,9,14,26,7,15,39,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,985,917,679,101,100,718,97,151
2.0,0,0,7,21,50,26,21,50,40,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,985,917,68,128,129,56,128,110
2.0,0,0,21,17,44,38,17,49,25,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,985,917,345,114,137,436,110,118
3.0,0,4,5,12,20,48,18,35,10,1,0,0,0,1,0,1,0,0,0,0,1,0,1,0,985,1388,686,118,104,277,100,95
3.0,0,0,8,12,20,7,13,37,17,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,985,917,686,118,100,631,97,128
3.0,0,1,21,18,57,41,3,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,985,1056,229,99,104,333,411,205
2.0,0,0,15,9,51,13,11,25,27,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,985,917,464,113,125,613,123,119
5.0,0,0,10,14,23,56,14,24,15,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,985,917,679,115,95,622,108,113
1.0,0,0,2,17,1,15,17,7,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,985,917,345,112,104,436,109,90
3.0,0,0,0,10,59,5,11,19,57,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,985,917,633,99,136,613,109,111
3.0,0,1,6,15,15,56,3,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,985,1056,748,114,95,333,411,151
2.0,0,0,38,10,25,54,10,27,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,985,917,633,85,125,532,97,111
2.0,0,0,38,10,28,1,10,28,57,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,985,917,633,113,113,532,111,111
3.0,0,1,21,16,29,3,9,9,13,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,985,1056,572,127,102,421,100,108
1.0,0,0,2,10,14,6,11,55,13,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,985,917,633,101,125,613,99,108
3.0,0,0,0,9,50,5,10,12,8,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,985,917,464,128,136,532,106,103
0.0,0,0,8,10,1,37,10,2,34,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,985,917,633,112,100,532,109,118
0.0,0,0,7,9,23,31,10,48,39,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,985,917,464,115,122,532,103,132
1.0,0,0,2,14,57,57,14,58,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,985,917,679,99,115,622,118,89
0.0,0,0,4,16,22,44,16,27,27,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,985,917,572,116,121,662,97,119
3.0,0,1,22,18,31,1,3,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,985,1056,229,112,113,333,411,205
4.0,0,0,0,11,4,37,11,35,16,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,985,917,700,112,100,613,100,101
3.0,0,1,3,15,56,25,3,0,1,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,985,1056,748,123,96,333,411,151
3.0,0,1,21,18,4,43,10,0,9,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,985,1056,229,112,108,532,411,93
1.0,0,0,6,9,35,31,10,2,44,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,985,917,464,106,122,532,109,128
5.0,0,0,11,10,36,7,12,5,15,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,985,917,633,98,100,658,107,113
1.0,0,0,6,16,9,22,16,9,31,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,985,917,572,108,108,662,100,114
3.0,0,1,0,18,2,12,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,985,1056,229,103,104,333,411,205
1.0,0,0,3,9,19,48,9,20,24,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,985,917,464,94,104,421,114,115
0.0,0,0,8,11,50,52,11,54,4,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,985,917,700,128,95,613,109,124
1.0,0,0,8,15,37,12,15,44,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,985,917,748,115,104,718,123,151
2.0,0,0,10,19,16,36,19,36,57,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,985,917,133,99,107,182,94,111
5.0,0,0,19,15,37,11,16,5,21,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,985,917,748,115,137,662,107,92
4.0,0,0,0,15,42,23,16,10,56,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,985,917,748,101,118,662,90,132
5.0,0,1,21,16,33,17,8,31,59,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,985,1056,572,114,112,240,92,118
4.0,0,0,5,11,7,13,13,8,36,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,985,917,700,106,125,631,102,122
0.0,0,0,48,10,27,55,10,28,40,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,985,917,633,102,110,532,111,110
3.0,0,1,3,9,46,42,10,11,42,1,0,0,0,1,0,0,0,1,0,0,1,0,1,0,985,1056,464,114,103,532,107,104
2.0,0,0,11,9,46,39,9,48,49,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,985,917,464,114,119,421,103,142
5.0,0,0,17,6,57,21,7,56,30,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,985,917,51,99,100,96,100,99
0.0,0,0,14,9,43,45,9,45,23,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,985,917,464,112,124,421,122,96
1.0,0,0,48,10,19,27,10,19,40,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,985,917,633,94,112,532,109,110
2.0,0,0,8,15,46,0,15,46,26,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,985,917,748,114,115,718,105,100
1.0,0,0,11,12,17,24,12,39,10,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,985,917,686,120,92,658,97,95
0.0,0,0,9,12,19,1,12,19,59,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,985,917,686,94,113,658,109,118
0.0,0,0,9,9,47,5,9,56,34,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,985,917,464,122,136,421,100,118
0.0,0,0,48,10,24,12,10,25,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,985,917,633,121,104,532,123,116
2.0,0,0,4,12,53,4,13,21,29,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,985,917,686,117,120,631,86,122
2.0,0,0,21,9,39,44,10,8,50,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,985,917,464,100,121,532,102,118
0.0,0,0,2,8,37,51,9,16,56,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,985,917,328,115,107,421,90,132
3.0,0,1,20,11,33,45,3,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,985,1056,700,114,124,333,411,151
1.0,0,0,6,9,13,53,9,16,39,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,985,917,464,118,92,421,90,132
3.0,0,1,19,11,38,23,3,0,1,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,985,1056,700,98,118,333,411,151
3.0,0,0,1,12,48,2,13,1,10,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,985,917,686,124,119,631,108,95
2.0,0,0,3,12,20,39,12,20,52,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,985,917,686,118,119,658,114,100
1.0,0,0,23,9,45,54,9,46,9,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,985,917,464,119,125,421,105,93
3.0,0,1,13,11,31,6,3,0,1,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,985,1056,700,112,125,333,411,151
0.0,0,0,11,8,31,4,9,46,12,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,985,917,328,112,120,421,105,94
0.0,0,0,16,10,31,22,10,32,20,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,985,917,633,112,108,532,103,102
3.0,0,0,9,11,22,42,14,49,39,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0,985,917,700,116,103,622,110,132
1.0,0,0,8,8,52,27,9,4,29,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,985,917,328,116,112,421,89,122
2.0,0,0,14,12,22,8,12,22,16,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,985,917,686,116,99,658,125,101
1.0,0,0,16,11,32,43,11,36,58,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,985,917,700,109,108,613,94,119
0.0,0,0,16,11,32,13,11,33,42,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,985,917,700,109,125,613,112,104
5.0,0,0,17,11,39,17,11,47,38,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,985,917,700,100,112,613,102,103
0.0,0,0,9,9,39,13,9,46,16,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,985,917,464,100,125,421,105,101
1.0,0,0,18,13,30,39,13,30,54,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,985,917,670,126,119,631,103,98
0.0,0,0,2,9,17,24,9,23,46,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,985,917,464,120,92,421,120,103
0.0,0,0,15,6,29,33,6,41,4,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,985,917,51,127,112,15,108,124
0.0,0,0,3,12,32,19,16,43,38,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,985,917,686,109,98,662,102,103
0.0,0,0,9,9,58,26,9,58,45,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,985,917,464,107,129,421,118,103
3.0,0,0,11,8,53,35,8,59,55,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,985,917,328,117,116,240,100,84
5.0,0,0,4,11,50,20,11,50,26,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,985,917,700,128,122,613,128,100
1.0,0,0,10,7,51,59,8,43,23,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,985,917,127,113,97,240,102,96
